/hi bi ˈkɹækɪŋ/	/hiːz ˈjuːʒəli ˈkɹækɪŋ/
/ʃi bi ˈwɪpɪŋ/	/ʃiːz ˈjuːʒəli ˈwɪpɪŋ/
/ðeɪ bi ˈwɪpɪŋ/	/ðeɪ ˈjuːʒəli ˈwɪpɪŋ/
/hi bi ˈfaɪndɪŋ/	/hiːz ˈjuːʒəli ˈfaɪndɪŋ/
/ʃi bi ˈfaɪndɪŋ/	/ʃiːz ˈjuːʒəli ˈfaɪndɪŋ/
/ðeɪ bi ˈfaɪndɪŋ/	/ðeɪ ˈjuːʒəli ˈfaɪndɪŋ/
/hi bi ˈpɑːkɪŋ/	/hiːz ˈjuːʒəli ˈpɑːkɪŋ/
/ʃi bi ˈpɑːkɪŋ/	/ʃiːz ˈjuːʒəli ˈpɑːkɪŋ/
/ðeɪ bi ˈpɑːkɪŋ/	/ðeɪ ˈjuːʒəli ˈpɑːkɪŋ/
/hi bi ˈkɹipɪŋ/	/hiːz ˈjuːʒəli ˈkɹipɪŋ/
/ʃi bi ˈkɹipɪŋ/	/ʃiːz ˈjuːʒəli ˈkɹipɪŋ/
/ðeɪ bi ˈkɹipɪŋ/	/ðeɪ ˈjuːʒəli ˈkɹipɪŋ/
/hi bi ˈfɹɪkɪŋ/	/hiːz ˈjuːʒəli ˈfɹɪkɪŋ/
/ʃi bi ˈfɹɪkɪŋ/	/ʃiːz ˈjuːʒəli ˈfɹɪkɪŋ/
/ðeɪ bi ˈfɹɪkɪŋ/	/ðeɪ ˈjuːʒəli ˈfɹɪkɪŋ/
/hi bi ˈdɹɪpɪŋ/	/hiːz ˈjuːʒəli ˈdɹɪpɪŋ/
/ʃi bi ˈdɹɪpɪŋ/	/ʃiːz ˈjuːʒəli ˈdɹɪpɪŋ/
/ðeɪ bi ˈdɹɪpɪŋ/	/ðeɪ ˈjuːʒəli ˈdɹɪpɪŋ/
/hi bi ˈstɪtʃɪŋ/	/hiːz ˈjuːʒəli ˈstɪtʃɪŋ/
/ʃi bi ˈstɪtʃɪŋ/	/ʃiːz ˈjuːʒəli ˈstɪtʃɪŋ/
/ðeɪ bi ˈstɪtʃɪŋ/	/ðeɪ ˈjuːʒəli ˈstɪtʃɪŋ/
/hi bi ˈkɪlɪŋ/	/hiːz ˈjuːʒəli ˈkɪlɪŋ/
/ʃi bi ˈkɪlɪŋ/	/ʃiːz ˈjuːʒəli ˈkɪlɪŋ/
/ðeɪ bi ˈkɪlɪŋ/	/ðeɪ ˈjuːʒəli ˈkɪlɪŋ/
/hi bi bɪˈliːvɪŋ/	/hiːz ˈjuːʒəli bɪˈliːvɪŋ/
/ʃi bi bɪˈliːvɪŋ/	/ʃiːz ˈjuːʒəli bɪˈliːvɪŋ/
/ðeɪ bi bɪˈliːvɪŋ/	/ðeɪ ˈjuːʒəli bɪˈliːvɪŋ/
/hi bi ˈkʌtɪŋ/	/hiːz ˈjuːʒəli ˈkʌtɪŋ/
/ʃi bi ˈkʌtɪŋ/	/ʃiːz ˈjuːʒəli ˈkʌtɪŋ/
/ðeɪ bi ˈkʌtɪŋ/	/ðeɪ ˈjuːʒəli ˈkʌtɪŋ/
/hi bi ˈɡɛtɪŋ/	/hiːz ˈjuːʒəli ˈɡɛtɪŋ/
/ʃi bi ˈɡɛtɪŋ/	/ʃiːz ˈjuːʒəli ˈɡɛtɪŋ/
/ðeɪ bi ˈɡɛtɪŋ/	/ðeɪ ˈjuːʒəli ˈɡɛtɪŋ/
/hi bi ˈɹaɪdɪŋ/	/hiːz ˈjuːʒəli ˈɹaɪdɪŋ/
/ʃi bi ˈɹaɪdɪŋ/	/ʃiːz ˈjuːʒəli ˈɹaɪdɪŋ/
/ðeɪ bi ˈɹaɪdɪŋ/	/ðeɪ ˈjuːʒəli ˈɹaɪdɪŋ/
/hi bi ˈwɔːkɪŋ/	/hiːz ˈjuːʒəli ˈwɔːkɪŋ/
/ʃi bi ˈwɔːkɪŋ/	/ʃiːz ˈjuːʒəli ˈwɔːkɪŋ/
/ðeɪ bi ˈwɔːkɪŋ/	/ðeɪ ˈjuːʒəli ˈwɔːkɪŋ/
/hi bi ˈbɪtʃɪŋ/	/hiːz ˈjuːʒəli ˈbɪtʃɪŋ/
/ʃi bi ˈbɪtʃɪŋ/	/ʃiːz ˈjuːʒəli ˈbɪtʃɪŋ/
/ðeɪ bi ˈbɪtʃɪŋ/	/ðeɪ ˈjuːʒəli ˈbɪtʃɪŋ/
/hi bi ˈɛvɹɪθɪŋ/	/hiːz ˈjuːʒəli ˈɛvɹɪθɪŋ/
/ʃi bi ˈɛvɹɪθɪŋ/	/ʃiːz ˈjuːʒəli ˈɛvɹɪθɪŋ/
/ðeɪ bi ˈɛvɹɪθɪŋ/	/ðeɪ ˈjuːʒəli ˈɛvɹɪθɪŋ/
/hi bi ˈkɪkɪŋ/	/hiːz ˈjuːʒəli ˈkɪkɪŋ/
/ʃi bi ˈkɪkɪŋ/	/ʃiːz ˈjuːʒəli ˈkɪkɪŋ/
/ðeɪ bi ˈkɪkɪŋ/	/ðeɪ ˈjuːʒəli ˈkɪkɪŋ/
/hi bi ˈkɪdɪŋ/	/hiːz ˈjuːʒəli ˈkɪdɪŋ/
/ʃi bi ˈkɪdɪŋ/	/ʃiːz ˈjuːʒəli ˈkɪdɪŋ/
/ðeɪ bi ˈkɪdɪŋ/	/ðeɪ ˈjuːʒəli ˈkɪdɪŋ/
/hi bi ˈbæŋɪŋ/	/hiːz ˈjuːʒəli ˈbæŋɪŋ/
/ʃi bi ˈbæŋɪŋ/	/ʃiːz ˈjuːʒəli ˈbæŋɪŋ/
/ðeɪ bi ˈbæŋɪŋ/	/ðeɪ ˈjuːʒəli ˈbæŋɪŋ/
/hi bi ˈbɹeɪkɪŋ/	/hiːz ˈjuːʒəli ˈbɹeɪkɪŋ/
/ʃi bi ˈbɹeɪkɪŋ/	/ʃiːz ˈjuːʒəli ˈbɹeɪkɪŋ/
/ðeɪ bi ˈbɹeɪkɪŋ/	/ðeɪ ˈjuːʒəli ˈbɹeɪkɪŋ/
/hi bi ˈtʃætɪŋ/	/hiːz ˈjuːʒəli ˈtʃætɪŋ/
/ʃi bi ˈtʃætɪŋ/	/ʃiːz ˈjuːʒəli ˈtʃætɪŋ/
/ðeɪ bi ˈtʃætɪŋ/	/ðeɪ ˈjuːʒəli ˈtʃætɪŋ/
/hi bi ˈeɪmɪŋ/	/hiːz ˈjuːʒəli ˈeɪmɪŋ/
/ʃi bi ˈeɪmɪŋ/	/ʃiːz ˈjuːʒəli ˈeɪmɪŋ/
/ðeɪ bi ˈeɪmɪŋ/	/ðeɪ ˈjuːʒəli ˈeɪmɪŋ/
/hi bi ˈhɛkɪŋ/	/hiːz ˈjuːʒəli ˈhɛkɪŋ/
/ʃi bi ˈhɛkɪŋ/	/ʃiːz ˈjuːʒəli ˈhɛkɪŋ/
/ðeɪ bi ˈhɛkɪŋ/	/ðeɪ ˈjuːʒəli ˈhɛkɪŋ/
/hi bi ˈstɑːtɪŋ/	/hiːz ˈjuːʒəli ˈstɑːtɪŋ/
/ʃi bi ˈstɑːtɪŋ/	/ʃiːz ˈjuːʒəli ˈstɑːtɪŋ/
/ðeɪ bi ˈstɑːtɪŋ/	/ðeɪ ˈjuːʒəli ˈstɑːtɪŋ/
/hi bi ˈtʃiːzɪŋ/	/hiːz ˈjuːʒəli ˈtʃiːzɪŋ/
/ʃi bi ˈtʃiːzɪŋ/	/ʃiːz ˈjuːʒəli ˈtʃiːzɪŋ/
/ðeɪ bi ˈtʃiːzɪŋ/	/ðeɪ ˈjuːʒəli ˈtʃiːzɪŋ/
/hi bi ˈdɹiːmɪŋ/	/hiːz ˈjuːʒəli ˈdɹiːmɪŋ/
/ʃi bi ˈdɹiːmɪŋ/	/ʃiːz ˈjuːʒəli ˈdɹiːmɪŋ/
/ðeɪ bi ˈdɹiːmɪŋ/	/ðeɪ ˈjuːʒəli ˈdɹiːmɪŋ/
/hi bi ˈfɹʌntɪŋ/	/hiːz ˈjuːʒəli ˈfɹʌntɪŋ/
/ʃi bi ˈfɹʌntɪŋ/	/ʃiːz ˈjuːʒəli ˈfɹʌntɪŋ/
/ðeɪ bi ˈfɹʌntɪŋ/	/ðeɪ ˈjuːʒəli ˈfɹʌntɪŋ/
/hi bi ˈdɹɪŋkɪŋ/	/hiːz ˈjuːʒəli ˈdɹɪŋkɪŋ/
/ʃi bi ˈdɹɪŋkɪŋ/	/ʃiːz ˈjuːʒəli ˈdɹɪŋkɪŋ/
/ðeɪ bi ˈdɹɪŋkɪŋ/	/ðeɪ ˈjuːʒəli ˈdɹɪŋkɪŋ/
/hi bi ˈdɑːlɪŋ/	/hiːz ˈjuːʒəli ˈdɑːlɪŋ/
/ʃi bi ˈdɑːlɪŋ/	/ʃiːz ˈjuːʒəli ˈdɑːlɪŋ/
/ðeɪ bi ˈdɑːlɪŋ/	/ðeɪ ˈjuːʒəli ˈdɑːlɪŋ/
/hi bi ˈpʊlɪŋ/	/hiːz ˈjuːʒəli ˈpʊlɪŋ/
/ʃi bi ˈpʊlɪŋ/	/ʃiːz ˈjuːʒəli ˈpʊlɪŋ/
/ðeɪ bi ˈpʊlɪŋ/	/ðeɪ ˈjuːʒəli ˈpʊlɪŋ/
/hi bi ˈtɔːkɪŋ/	/hiːz ˈjuːʒəli ˈtɔːkɪŋ/
/ʃi bi ˈtɔːkɪŋ/	/ʃiːz ˈjuːʒəli ˈtɔːkɪŋ/
/ðeɪ bi ˈtɔːkɪŋ/	/ðeɪ ˈjuːʒəli ˈtɔːkɪŋ/
/hi bi ˈhæŋɪŋ/	/hiːz ˈjuːʒəli ˈhæŋɪŋ/
/ʃi bi ˈhæŋɪŋ/	/ʃiːz ˈjuːʒəli ˈhæŋɪŋ/
/ðeɪ bi ˈhæŋɪŋ/	/ðeɪ ˈjuːʒəli ˈhæŋɪŋ/
